doc_reference,doc_name,url,error,lpa_curie,lpa_name,local_plan
inspector-s-report,Inspector's Report,https://www.camden.gov.uk/camden-local-plan1,HTTPError: 403 Client Error: Forbidden for url: https://www.camden.gov.uk/camden-local-plan1,,,london-borough-of-camden-local-plan-2017
local-plan-2017,Local plan 2017,https://www.camden.gov.uk/camden-local-plan1,HTTPError: 403 Client Error: Forbidden for url: https://www.camden.gov.uk/camden-local-plan1,,,london-borough-of-camden-local-plan-2017
london-borough-of-islington-local-plan-2023-4,Policies Map,https://www.islington.gov.uk:443/page-not-found,HTTPError: 404 Client Error: Page not found for url: https://www.islington.gov.uk:443/page-not-found,,,london-borough-of-islington-local-plan-2023
draft-local-plan-for-regulation-18-consultation,Draft local plan for regulation 18 consultation,https://www.camden.gov.uk/draft-new-local-plan,HTTPError: 403 Client Error: Forbidden for url: https://www.camden.gov.uk/draft-new-local-plan,,,camden-local-plan-2026
east-lindsey-core-strategy-and-settlement-proposals-dpd-report-final-may-2018,East Lindsey Core Strategy and Settlement Proposals DPD Report - Final - May 2018,https://www.e-lindsey.gov.uk/media/9021/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-Final-May-2018/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_Final_-_May_2018.pdf?m=1525354390860,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9021/East-Lindsey-Core-Strat,,,east-lindsey-district-council-local-plan-2018
east-lindsey-core-strategy-and-settlement-proposals-dpd-report-mm-appendix-a-final,East Lindsey Core Strategy and Settlement Proposals DPD Report - MM Appendix A - Final,https://www.e-lindsey.gov.uk/media/9022/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-MM-Appendix-A-Final/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_MM_Appendix_A_-_Final.pdf?m=1525354391140,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9022/East-Lindsey-Core-Strat,,,east-lindsey-district-council-local-plan-2018
east-lindsey-core-strategy-and-settlement-proposals-dpd-report-mm-appendix-b-final,East Lindsey Core Strategy and Settlement Proposals DPD Report - MM Appendix B - Final,https://www.e-lindsey.gov.uk/media/9023/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-MM-Appendix-B-Final/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_MM_Appendix_B_-_Final.pdf?m=1525354391413,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9023/East-Lindsey-Core-Strat,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-1,Core Strategy,https://www.e-lindsey.gov.uk/media/9791/Core-Strategy/pdf/Final_Version_of_Core_Strategy_2018.pdf?m=1546595473230,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9791/Core-Strategy/pdf/Final,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-10,CD102 Addendum to the Sustainability Appraisal of the East Lindsey Core Strategy,https://www.e-lindsey.gov.uk/media/5985/CD102-Addendum-to-the-Sustainability-Appraisal-of-the-East-Lindsey-Core-Strategy/pdf/CD102_Addendum_to_the_Sustainability_Appraisal_of_the_East_Lindsey_Core_Strategy.pdf?m=1505729487247,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/5985/CD102-Addendum-to-the-S,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-11,CD102 East Lindsey Settlement Proposals Sustainability Appraisal November 2016 with Non Technical Summary,https://www.e-lindsey.gov.uk/media/5989/CD102-East-Lindsey-Settlement-Proposals-Sustainability-Appraisal-November-2016-with-Non-Technical-Summary/pdf/CD102_East_Lindsey_Settlement_Proposals_Sustainability_Appraisal_November_2016_with_Non_Technical_Su.pdf?m=1505729489143,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/5989/CD102-East-Lindsey-Sett,,,east-lindsey-district-council-local-plan-2018
