lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,arun-district-council-local-plan-2011-1,Adopted Local Plan,local-plan,pdf,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12844.pdf&ver=12984,https://www.arun.gov.uk/adopted-local-plan/,200,application/pdf,,arun-district-council-local-plan-2011
,,arun-district-council-local-plan-2011-2,Local Plan Policy Map (District Wide) - Update 2018 V23,policies-map,pdf,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12918.pdf&ver=13058,https://www.arun.gov.uk/adopted-local-plan/,200,application/pdf,,arun-district-council-local-plan-2011
,,arun-district-council-local-plan-2011-3,"Policy map: Arundel, the Six Villages & surrounding area",policies-map,pdf,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12919.pdf&ver=13059,https://www.arun.gov.uk/adopted-local-plan/,200,application/pdf,,arun-district-council-local-plan-2011
,,arun-district-council-local-plan-2011-32,Adoption Statement,adoption-statement,pdf,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12541.pdf&ver=12559,https://www.arun.gov.uk/adopted-local-plan/,200,application/pdf,,arun-district-council-local-plan-2011
,,arun-district-council-local-plan-2011-33,Inspector's Report (dated 4'July 2018) into the examination of the Arun Local Plan 2011-2031,inspectors-report,pdf,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12488.pdf&ver=12506,https://www.arun.gov.uk/adopted-local-plan/,200,application/pdf,,arun-district-council-local-plan-2011
,,arun-district-council-local-plan-2011-34,Inspector's Report Appendix Final Schedule of Main Modifications,inspectors-report,pdf,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12489.pdf&ver=12507,https://www.arun.gov.uk/adopted-local-plan/,200,application/pdf,,arun-district-council-local-plan-2011
,,arun-district-council-local-plan-2011-4,Policy Map 3 (West) - Update September 2018 V1,policies-map,pdf,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12920.pdf&ver=13060,https://www.arun.gov.uk/adopted-local-plan/,200,application/pdf,,arun-district-council-local-plan-2011
,,arun-district-council-local-plan-2011-5,Policy Map 4 (East) - Update September 2018 V1,policies-map,pdf,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12921.pdf&ver=13061,https://www.arun.gov.uk/adopted-local-plan/,200,application/pdf,,arun-district-council-local-plan-2011
,,inspector-s-report,Inspector's Report,inspectors-report,html,,https://www.camden.gov.uk/camden-local-plan1,403,text/html,,london-borough-of-camden-local-plan-2017
,,local-plan-2017,Local plan 2017,local-plan,html,,https://www.camden.gov.uk/camden-local-plan1,403,text/html,,london-borough-of-camden-local-plan-2017
,,london-borough-of-islington-local-plan-2023-1,Strategic and Development Management policies,local-plan,pdf,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicconsultation/20232024/islington-council-local-plan-strategic-and-development-management-policies.pdf?la=en&hash=87580E35EA21B2221918960F570CD1CC3CEFFE6B,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,200,application/pdf,,london-borough-of-islington-local-plan-2023
,,london-borough-of-islington-local-plan-2023-2,Site Allocations,local-plan;site-allocations,pdf,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicconsultation/20232024/islington-council-local-plan-site-allocations.pdf?la=en&hash=98007803BDD179C372CCFA9529DB4A764896AD48,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,200,application/pdf,,london-borough-of-islington-local-plan-2023
,,london-borough-of-islington-local-plan-2023-3,Bunhill and Clerkenwell Area Action Plan,area-action-plan,pdf,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicconsultation/20232024/islington-council-local-plan-bunhill-and-clerkenwell-area-action-plan.pdf?la=en&hash=5C0A108521E44C81CF01CA6F63761E8196892278,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,200,application/pdf,,london-borough-of-islington-local-plan-2023
,,london-borough-of-islington-local-plan-2023-4,Policies Map,policies-map,pdf,https://www.islington.gov.uk:443/page-not-found,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,404,text/html,,london-borough-of-islington-local-plan-2023
,,london-borough-of-islington-local-plan-2023-6,Local Development Scheme,local-development-scheme,pdf,https://www.islington.gov.uk:443/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicnotices/20222023/lds_march2023.pdf?la=en&hash=0974D4D353578D1FA122D9D7BB596736A56FD236,https://www.islington.gov.uk/planning/planning-policy/islington-local-plan,200,application/pdf,,london-borough-of-islington-local-plan-2023
